City,Fuel Type,Body Type,km,price,ownerNo,Manufacturer,model,modelYear,Insurance Validity,Engine Displacement,Transmission,Mileage,Seats,Color,No of Cylinder,Drive Type,Seating Capacity,Steering Type,No Door Numbers
Bangalore,Petrol,SUV,14000,1725000,1,Kia,Kia Seltos,1970-01-01 00:00:00.000002020,Comprehensive,1353.0,Automatic,16.5,5,White,4,FWD,5,Electric,5
Bangalore,Petrol,Hatchback,29268,330000,1,Hyundai,Hyundai EON,1970-01-01 00:00:00.000002014,Comprehensive,814.0,Manual,21.1,5,White,3,FWD,5,Power,5
Bangalore,Petrol,Sedan,20000,990000,1,Volkswagen,Volkswagen Vento,1970-01-01 00:00:00.000002019,Third Party insurance,1197.0,Automatic,18.19,5,Dark Black,4,FWD,5,Power,4
Bangalore,Petrol,Sedan,30000,750000,1,Toyota,Toyota Yaris,1970-01-01 00:00:00.000002018,Third Party insurance,1496.0,Manual,17.1,5,Dark Black,4,FWD,5,Power,4
Bangalore,Petrol,Hatchback,64374,755000,1,Honda,Honda Jazz,1970-01-01 00:00:00.000002018,Third Party insurance,1199.0,Automatic,19.0,5,Grey,4,FWD,5,Power,5
Bangalore,Diesel,SUV,30000,1750000,1,MG,MG Hector,1970-01-01 00:00:00.000002021,Third Party insurance,1956.0,Manual,17.41,5,Dark Black,4,FWD,5,Power,5
Bangalore,Petrol,SUV,7100,2082999,1,Hyundai,Hyundai Alcazar,1970-01-01 00:00:00.000002022,Comprehensive,1999.0,Automatic,14.2,6,White,4,FWD,6,Power,5
Bangalore,Petrol,Hatchback,43679,271000,1,Hyundai,Hyundai i10,1970-01-01 00:00:00.000002010,Comprehensive,1086.0,Manual,19.81,5,Silver,4,FWD,5,Power,5
Bangalore,Petrol,SUV,40000,1280000,1,Hyundai,Hyundai Creta,1970-01-01 00:00:00.000002018,Third Party insurance,1591.0,Automatic,14.8,5,Dark Black,4,FWD,5,Power,5
Bangalore,Diesel,Hatchback,40562,436000,1,Hyundai,Hyundai i20,1970-01-01 00:00:00.000002012,Third Party,1396.0,Manual,22.54,5,Red,4,FWD,5,Power,5
Bangalore,Petrol,SUV,26500,1675000,2,Hyundai,Hyundai Creta,1970-01-01 00:00:00.000002021,Comprehensive,1397.0,Automatic,18.9,5,White,4,FWD,5,Power,5
Bangalore,Petrol,SUV,20000,1250000,1,Hyundai,Hyundai Venue,1970-01-01 00:00:00.000002019,Third Party insurance,998.0,Automatic,18.15,5,Dark Black,3,FWD,5,Power,5
Bangalore,Diesel,SUV,58600,1350000,1,Mahindra,Mahindra XUV500,1970-01-01 00:00:00.000002016,Third Party insurance,2179.0,Automatic,16.0,7,Silver,4,FWD,7,Power,5
Bangalore,Petrol,SUV,20000,1250000,1,Hyundai,Hyundai Venue,1970-01-01 00:00:00.000002019,Third Party insurance,998.0,Automatic,18.15,5,Dark Black,3,FWD,5,Power,5
Bangalore,Petrol,SUV,42050,2225000,1,Volkswagen,Volkswagen T-Roc,1970-01-01 00:00:00.000002020,Comprehensive,1498.0,Automatic,18.4,5,White,4,FWD,5,Power,5
Bangalore,Petrol,Hatchback,65017,475000,1,Maruti,Maruti Celerio,1970-01-01 00:00:00.000002015,2,998.0,Automatic,23.1,5,White,3,FWD,5,Power,5
Bangalore,Diesel,Sedan,80000,600000,2,BMW,BMW 3 Series,1970-01-01 00:00:00.000002008,Third Party insurance,1995.0,Automatic,13.2,5,Dark Black,4,FWD,5,Power,4
Bangalore,Petrol,SUV,30000,2450000,1,Jeep,Jeep Compass,1970-01-01 00:00:00.000002021,Third Party insurance,1368.0,Automatic,14.1,5,Dark Black,4,4x2,5,Power,5
Bangalore,Petrol,SUV,20000,1625000,1,Kia,Kia Seltos,1970-01-01 00:00:00.000002020,Third Party insurance,1353.0,Automatic,16.5,5,Dark Black,4,FWD,5,Electric,5
Bangalore,Diesel,Sedan,36349,1650000,1,Skoda,Skoda Superb,1970-01-01 00:00:00.000002014,Third Party insurance,1968.0,Automatic,17.2,5,White,4,FWD,5,Power,4
Bangalore,Petrol,Hatchback,80000,249000,3,Hyundai,Hyundai i10,1970-01-01 00:00:00.000002009,Third Party insurance,1197.0,Manual,20.36,5,Dark Black,4,FWD,5,Power,4
Bangalore,Petrol,SUV,83394,630000,2,Renault,Renault Duster,1970-01-01 00:00:00.000002014,Third Party insurance,1598.0,Manual,13.24,5,Red,4,FWD,5,Power,5
Bangalore,Diesel,SUV,30000,2599000,2,Audi,Audi Q5,1970-01-01 00:00:00.000002016,Third Party insurance,1968.0,Automatic,14.16,5,Dark Black,4,AWD,5,Power,5
Bangalore,Petrol,Hatchback,80000,249000,3,Hyundai,Hyundai i10,1970-01-01 00:00:00.000002009,Third Party insurance,1197.0,Manual,20.36,5,Dark Black,4,FWD,5,Power,4
Bangalore,Petrol,Hatchback,52204,385000,1,Maruti,Maruti Alto K10,1970-01-01 00:00:00.000002017,Third Party,998.0,Manual,24.39,5,Silver,3,FWD,5,Power,5
Bangalore,Petrol,Hatchback,110000,300000,3,Hyundai,Hyundai i20,1970-01-01 00:00:00.000002012,Third Party insurance,1197.0,Manual,17.0,5,Red,4,FWD,5,Power,5
Bangalore,Diesel,SUV,89000,2975000,1,Ford,Ford Endeavour,1970-01-01 00:00:00.000002017,Third Party insurance,3198.0,Automatic,10.91,7,Black,4,4WD,7,Power,5
Bangalore,Petrol,Hatchback,29813,276000,2,Maruti,Maruti Alto 800,1970-01-01 00:00:00.000002014,Comprehensive,796.0,Manual,22.05,5,Dark Black,3,FWD,5,Power,5
Bangalore,Petrol,Hatchback,30000,500000,1,Ford,Ford Figo,1970-01-01 00:00:00.000002018,Third Party insurance,1196.0,Manual,18.16,5,Gray,4,FWD,5,EPAS,5
Bangalore,Petrol,Hatchback,13345,730000,1,Maruti,Maruti Ignis,1970-01-01 00:00:00.000002020,Comprehensive,1197.0,Automatic,20.89,5,White,4,FWD,5,Electrical,5
Bangalore,Diesel,SUV,17100,2245000,1,Hyundai,Hyundai Alcazar,1970-01-01 00:00:00.000002022,Comprehensive,1498.0,Automatic,18.1,7,Grey,4,FWD,7,Power,5
Bangalore,Petrol,Hatchback,75000,399000,1,Hyundai,Hyundai Grand i10,1970-01-01 00:00:00.000002014,Comprehensive,1197.0,Manual,18.9,5,Grey,4,FWD,5,Power,5
Bangalore,Petrol,Hatchback,75523,312000,2,Hyundai,Hyundai i10,1970-01-01 00:00:00.000002011,Comprehensive,1197.0,Manual,20.36,5,Red,4,FWD,5,Power,4
Bangalore,Diesel,SUV,47000,1275000,1,Mahindra,Mahindra XUV500,1970-01-01 00:00:00.000002015,Comprehensive,2179.0,Manual,16.0,7,Silver,4,FWD,7,Power,5
Bangalore,Diesel,SUV,36500,1989999,1,Tata,Tata Harrier,1970-01-01 00:00:00.000002022,Comprehensive,1956.0,Manual,16.35,5,White,4,FWD,5,Power,5
